game_pk,official_date,away_id,away_score,home_id,home_score
778111,2025-04-30,158,6,145,4
778106,2025-04-30,133,7,140,1
778100,2025-05-01,112,8,134,3
778107,2025-05-01,138,1,113,9
778103,2025-05-01,109,4,121,2
778097,2025-05-01,118,8,139,2
778108,2025-05-01,142,3,114,4
778094,2025-05-01,158,0,145,8
778096,2025-05-01,133,3,140,0
778099,2025-05-01,120,4,143,2
778095,2025-05-01,111,2,141,4
778101,2025-05-01,116,10,108,4
778098,2025-05-01,115,4,137,3
778087,2025-05-02,120,1,113,6
778090,2025-05-02,135,9,134,4
778086,2025-05-02,109,2,143,3
778093,2025-05-02,118,0,110,3
778088,2025-05-02,139,0,147,3
778081,2025-05-02,114,3,141,5
778089,2025-05-02,142,1,111,6
778091,2025-05-02,133,6,146,1
778092,2025-05-02,119,2,144,1
778079,2025-05-02,117,3,145,7
778083,2025-05-02,136,13,140,1
778080,2025-05-02,112,10,158,0
778084,2025-05-02,121,9,138,3
778085,2025-05-02,116,9,108,1
778082,2025-05-02,115,0,137,4
778074,2025-05-03,139,3,147,2
778066,2025-05-03,117,8,145,3
778064,2025-05-03,114,5,141,3
778065,2025-05-03,135,2,134,1
778069,2025-05-03,115,3,137,6
778073,2025-05-03,142,4,111,3
778075,2025-05-03,133,6,146,9
778078,2025-05-03,109,2,143,7
778077,2025-05-03,120,11,113,6
778070,2025-05-03,136,2,140,1
778071,2025-05-03,112,6,158,2
778072,2025-05-03,118,4,110,0
778076,2025-05-03,119,10,144,3
778067,2025-05-03,116,2,108,5
778053,2025-05-04,121,5,138,6
778068,2025-05-04,121,4,138,5
778062,2025-05-04,118,11,110,6
778051,2025-05-04,135,4,134,0
778063,2025-05-04,142,5,111,4
778057,2025-05-04,139,7,147,5
778056,2025-05-04,114,5,141,4
778061,2025-05-04,133,3,146,2
778059,2025-05-04,109,11,143,9
778055,2025-05-04,117,4,145,5
778054,2025-05-04,112,0,158,4
778052,2025-05-04,136,1,140,8
778048,2025-05-04,115,3,137,9
778050,2025-05-04,116,13,108,1
778058,2025-05-04,120,4,113,1
778060,2025-05-04,119,3,144,4
778047,2025-05-05,119,7,146,4
778045,2025-05-05,135,4,147,3
778049,2025-05-05,113,0,144,4
778044,2025-05-05,137,2,112,9
778043,2025-05-05,145,0,118,3
778042,2025-05-05,117,1,158,5
778036,2025-05-05,134,3,138,6
778039,2025-05-05,121,5,109,4
778038,2025-05-05,136,6,133,7
778026,2025-05-06,114,9,120,10
778046,2025-05-06,114,9,120,1
778035,2025-05-06,119,4,146,5
778037,2025-05-06,140,6,111,1
778040,2025-05-06,143,8,139,4
778041,2025-05-06,135,3,147,12
778034,2025-05-06,113,1,144,2
778027,2025-05-06,137,14,112,5
778028,2025-05-06,110,1,142,9
778033,2025-05-06,145,3,118,4
778031,2025-05-06,117,3,158,4
778030,2025-05-06,134,1,138,2
778025,2025-05-06,141,3,108,8
778032,2025-05-06,121,1,109,5
778024,2025-05-06,136,5,133,3
778022,2025-05-07,114,8,120,6
778015,2025-05-07,117,9,158,1
778016,2025-05-07,134,0,138,5
778020,2025-05-07,137,3,112,1
778010,2025-05-07,136,6,133,5
778014,2025-05-07,121,7,109,1
778017,2025-05-07,119,10,146,1
778018,2025-05-07,140,4,111,6
778021,2025-05-07,143,7,139,0
778019,2025-05-07,135,3,147,4
778023,2025-05-07,113,4,144,3
778011,2025-05-07,110,2,142,5
778012,2025-05-07,145,1,118,2
778013,2025-05-07,116,8,115,6
778009,2025-05-07,141,4,108,5
778007,2025-05-08,110,2,142,5
778006,2025-05-08,140,0,111,5
778008,2025-05-08,145,0,118,10
778004,2025-05-08,116,10,115,2
778029,2025-05-08,116,11,115,1
778005,2025-05-08,143,7,139,6
778003,2025-05-08,113,4,144,5
778000,2025-05-08,141,8,108,5
777999,2025-05-08,119,3,109,5
777996,2025-05-09,140,1,116,2
777998,2025-05-09,144,2,134,3
777995,2025-05-09,138,10,120,0
778002,2025-05-09,158,3,139,4
778001,2025-05-09,112,2,121,7
777997,2025-05-09,143,0,114,6
777990,2025-05-09,111,1,118,2
777991,2025-05-09,146,2,145,6
777989,2025-05-09,113,0,117,3
777992,2025-05-09,137,1,142,3
777993,2025-05-09,135,13,115,9
777986,2025-05-09,110,4,108,1
777988,2025-05-09,119,14,109,11
777984,2025-05-09,141,6,136,3
777994,2025-05-09,147,10,133,2
777980,2025-05-10,138,4,120,2
777985,2025-05-10,144,3,134,2
777972,2025-05-10,147,7,133,11
777981,2025-05-10,158,2,139,3
777987,2025-05-10,140,10,116,3
777983,2025-05-10,143,7,114,1
777979,2025-05-10,113,13,117,9
777977,2025-05-10,111,10,118,1
777978,2025-05-10,146,3,145,1
777982,2025-05-10,112,6,121,5
777974,2025-05-10,137,1,142,2
777975,2025-05-10,119,0,109,3
777976,2025-05-10,135,21,115,0
777973,2025-05-10,110,2,108,5
777970,2025-05-10,141,6,136,3
777968,2025-05-11,112,2,121,6
777962,2025-05-11,138,6,120,1
777967,2025-05-11,144,3,134,4
777969,2025-05-11,140,6,116,1
777964,2025-05-11,158,4,139,2
777963,2025-05-11,113,0,117,6
777965,2025-05-11,111,3,118,1
777956,2025-05-11,137,6,142,7
777966,2025-05-11,146,2,145,4
777955,2025-05-11,135,3,115,9
777957,2025-05-11,147,12,133,2
777961,2025-05-11,110,7,108,3
777954,2025-05-11,119,8,109,1
777958,2025-05-11,141,9,136,1
777971,2025-05-11,143,3,114,0
777960,2025-05-12,158,0,114,5
777951,2025-05-12,111,2,116,14
777953,2025-05-12,138,3,143,2
777950,2025-05-12,134,3,121,4
777959,2025-05-12,120,3,144,4
777952,2025-05-12,146,2,112,5
777949,2025-05-12,115,1,140,2
777948,2025-05-12,118,7,117,5
777947,2025-05-12,108,9,135,5
777941,2025-05-12,147,11,136,5
777939,2025-05-12,109,2,137,1
777944,2025-05-13,158,0,114,2
777940,2025-05-13,111,9,116,10
777945,2025-05-13,145,5,113,1
777935,2025-05-13,139,11,141,9
777943,2025-05-13,134,1,121,2
777942,2025-05-13,120,2,144,5
777936,2025-05-13,146,4,112,5
777934,2025-05-13,115,1,140,4
777931,2025-05-13,118,1,117,2
777932,2025-05-13,108,4,135,6
777926,2025-05-13,147,1,136,2
777930,2025-05-13,109,6,137,10
777937,2025-05-13,133,11,119,1
777924,2025-05-14,142,6,110,3
777938,2025-05-14,142,8,110,6
777922,2025-05-14,138,1,143,2
777933,2025-05-14,138,14,143,7
777925,2025-05-14,158,9,114,5
777916,2025-05-14,109,8,137,7
777915,2025-05-14,147,3,136,2
777927,2025-05-14,111,5,116,6
777923,2025-05-14,139,1,141,3
777919,2025-05-14,134,4,121,0
777928,2025-05-14,145,4,113,2
777929,2025-05-14,120,5,144,4
777921,2025-05-14,146,3,112,1
777918,2025-05-14,115,3,140,8
777920,2025-05-14,118,3,117,4
777914,2025-05-14,108,1,135,5
777917,2025-05-14,133,3,119,9
777909,2025-05-15,120,2,144,5
777911,2025-05-15,142,4,110,0
777912,2025-05-15,145,1,113,7
777913,2025-05-15,139,8,141,3
777910,2025-05-15,117,0,140,1
777946,2025-05-15,133,2,119,19
777900,2025-05-16,145,3,112,13
777902,2025-05-16,114,4,113,5
777905,2025-05-16,134,4,143,8
777907,2025-05-16,120,4,110,3
777904,2025-05-16,121,2,147,6
777906,2025-05-16,116,5,141,4
777908,2025-05-16,144,4,111,2
777903,2025-05-16,139,4,146,9
777901,2025-05-16,138,10,118,3
777895,2025-05-16,117,6,140,3
777898,2025-05-16,142,3,158,0
777897,2025-05-16,115,0,109,8
777896,2025-05-16,136,5,135,1
777899,2025-05-16,108,6,119,2
777891,2025-05-16,133,1,137,9
777888,2025-05-17,121,3,147,2
777881,2025-05-17,145,3,112,7
777886,2025-05-17,116,1,141,2
777890,2025-05-17,120,10,110,6
777889,2025-05-17,139,4,146,0
777894,2025-05-17,134,2,143,5
777892,2025-05-17,114,1,113,4
777882,2025-05-17,117,1,140,5
777885,2025-05-17,138,1,118,0
777893,2025-05-17,144,6,111,7
777883,2025-05-17,142,7,158,0
777887,2025-05-17,115,14,109,12
777875,2025-05-17,136,4,135,1
777879,2025-05-17,133,0,137,1
777884,2025-05-17,108,11,119,9
777869,2025-05-18,117,4,140,3
777873,2025-05-18,120,10,110,4
777880,2025-05-18,134,0,143,1
777876,2025-05-18,144,10,111,4
777871,2025-05-18,116,3,141,2
777874,2025-05-18,114,1,113,3
777877,2025-05-18,139,1,146,5
777864,2025-05-18,138,1,118,2
777865,2025-05-18,142,2,158,5
777872,2025-05-18,145,2,112,6
777867,2025-05-18,133,2,137,3
777870,2025-05-18,115,0,109,1
777866,2025-05-18,108,6,119,4
777868,2025-05-18,136,6,135,1
777878,2025-05-18,121,2,147,8
777859,2025-05-19,113,7,134,1
777863,2025-05-19,112,7,146,8
777856,2025-05-19,121,1,111,3
777858,2025-05-19,117,4,139,3
777861,2025-05-19,114,5,142,6
777857,2025-05-19,136,5,145,1
777860,2025-05-19,110,4,158,5
777862,2025-05-19,116,4,138,11
777852,2025-05-19,143,9,115,3
777855,2025-05-19,118,3,137,1
777853,2025-05-19,108,4,133,3
777854,2025-05-19,109,9,119,5
777847,2025-05-20,113,0,134,1
777850,2025-05-20,112,14,146,1
777851,2025-05-20,121,0,111,2
777841,2025-05-20,144,3,120,5
777848,2025-05-20,117,2,139,3
777849,2025-05-20,140,2,147,5
777845,2025-05-20,135,0,141,3
777846,2025-05-20,136,0,145,1
777844,2025-05-20,110,2,158,5
